,culture,primaryImageSmall
0,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP169289.jpg
1,China,https://images.metmuseum.org/CRDImages/as/web-large/DP161400.jpg
2,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap10.106.jpg
3,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6753.jpg
4,China,https://images.metmuseum.org/CRDImages/as/web-large/1989_363_114_O.jpg
5,China,https://images.metmuseum.org/CRDImages/as/web-large/DP166337_CRD.jpg
6,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap07.233.38.jpg
7,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap03.31.jpg
8,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP205578.jpg
9,China,https://images.metmuseum.org/CRDImages/as/web-large/44_121_O1_sf.jpg
10,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT60.jpg
11,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP105034.jpg
12,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153824.jpg
13,China,https://images.metmuseum.org/CRDImages/as/web-large/DP213064_CRD.jpg
14,China,https://images.metmuseum.org/CRDImages/as/web-large/DP202126_CRD.jpg
15,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP276275.jpg
16,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP-12232-043.jpg
17,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6805.jpg
18,China,https://images.metmuseum.org/CRDImages/as/web-large/51_39_2_149650.JPG
19,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP105035.jpg
20,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap06.178.jpg
21,Japan,https://images.metmuseum.org/CRDImages/as/web-large/56_121_34_162324.jpg
22,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153581.jpg
23,China,https://images.metmuseum.org/CRDImages/as/web-large/DP160517.jpg
24,China,https://images.metmuseum.org/CRDImages/as/web-large/DP202520_CRD.jpg
25,Japan,https://images.metmuseum.org/CRDImages/as/web-large/47_56_O.jpg
26,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DT5210.jpg
27,Japan,https://images.metmuseum.org/CRDImages/as/web-large/29_100_462_O2.jpg
28,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP-13180-010.jpg
29,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap87.8.7.jpg
30,America,https://images.metmuseum.org/CRDImages/ad/web-large/131161.jpg
31,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6577.jpg
32,China,https://images.metmuseum.org/CRDImages/as/web-large/DP205813_CRD.jpg
33,Japan,https://images.metmuseum.org/CRDImages/as/web-large/1975_268_145.JPG
34,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT1543.jpg
35,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap55.202.jpg
36,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154393.jpg
37,China,https://images.metmuseum.org/CRDImages/as/web-large/DP-19461-002.jpg
38,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP140607.jpg
39,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT201337.jpg
40,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153500.jpg
41,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap74.47.jpg
42,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap50.155.2.jpg
43,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP211868.jpg
44,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT226485.jpg
45,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP162124.jpg
46,China,https://images.metmuseum.org/CRDImages/as/web-large/DP163345_crd.jpg
47,China,https://images.metmuseum.org/CRDImages/as/web-large/13_100_120.jpg
48,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP221036.jpg
49,China,https://images.metmuseum.org/CRDImages/as/web-large/DP702159.jpg
50,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154079.jpg
51,China,https://images.metmuseum.org/CRDImages/as/web-large/DP123749.jpg
52,Japan,https://images.metmuseum.org/CRDImages/as/web-large/14_140_17_F_sf.jpg
53,China,https://images.metmuseum.org/CRDImages/as/web-large/DP165715_CRD.jpg
54,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap31.61.jpg
55,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap25.131.jpg
56,China,https://images.metmuseum.org/CRDImages/as/web-large/DP277568.jpg
57,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153531.jpg
58,Japan,https://images.metmuseum.org/CRDImages/as/web-large/14_76_17_14_76_18_Group_sf.JPG
59,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP168989.jpg
60,China,https://images.metmuseum.org/CRDImages/as/web-large/DP-18549-001.jpg
61,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS171.jpg
62,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap49.10.2.jpg
63,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap87.18.jpg
64,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap32.134.3.jpg
65,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP357987.jpg
66,China,https://images.metmuseum.org/CRDImages/as/web-large/DP166183_CRD.jpg
67,Japan,https://images.metmuseum.org/CRDImages/as/web-large/29_100_455_tms.JPG
68,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP115297.jpg
69,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT11456.jpg
70,Japan,https://images.metmuseum.org/CRDImages/as/web-large/29_100_460_76262.jpg
71,China,https://images.metmuseum.org/CRDImages/as/web-large/1972_278_6_O.JPG
72,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT58.jpg
73,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154473.jpg
74,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP700761.jpg
75,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP700747.jpg
76,China,https://images.metmuseum.org/CRDImages/as/web-large/DP235481.jpg
77,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap30.49.7.jpg
78,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP222183.jpg
79,China,https://images.metmuseum.org/CRDImages/as/web-large/23628.jpg
80,Japan,https://images.metmuseum.org/CRDImages/as/web-large/36_100_83_108903.jpg
81,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP159184.jpg
82,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154405.jpg
83,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP221130.jpg
84,Japan,https://images.metmuseum.org/CRDImages/as/web-large/14_140_5_F_sf.jpg
85,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP205583.jpg
86,China,https://images.metmuseum.org/CRDImages/as/web-large/42_150_1.jpg
87,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6759.jpg
88,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DT215132.jpg
89,China,https://images.metmuseum.org/CRDImages/as/web-large/13_220_36_O1_sf.JPG
90,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP161491.jpg
91,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT63.jpg
92,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap24.109.84.jpg
93,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153533.jpg
94,China,https://images.metmuseum.org/CRDImages/as/web-large/DP159111_CRD.jpg
95,Japan,https://images.metmuseum.org/CRDImages/as/web-large/07_246_12_O1_sf.jpg
96,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DT8032.jpg
97,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP232843_CRD.jpg
98,Japan,https://images.metmuseum.org/CRDImages/as/web-large/56_121_42_162332.jpg
99,Japan,https://images.metmuseum.org/CRDImages/as/web-large/LC-53_194_2_jps-007.jpg
100,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP260453.jpg
101,China,https://images.metmuseum.org/CRDImages/as/web-large/DT6780.jpg
102,Japan,https://images.metmuseum.org/CRDImages/as/web-large/14_76_36_02_sf..jpg
103,China,https://images.metmuseum.org/CRDImages/as/web-large/DP160552.jpg
104,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP105031.jpg
105,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154414.jpg
106,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap69.279.1.jpg
107,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP211848.jpg
108,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP211828.jpg
109,America,https://images.metmuseum.org/CRDImages/ad/web-large/SFcs235240.jpg
110,China,https://images.metmuseum.org/CRDImages/as/web-large/DP161114_CRD.jpg
111,China,https://images.metmuseum.org/CRDImages/as/web-large/1979_500_1_a_aa_sf.jpg
112,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap11.34.2.jpg
113,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6629.jpg
114,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153846.jpg
115,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP317454.jpg
116,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP205543.jpg
117,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6907.jpg
118,Japan,https://images.metmuseum.org/CRDImages/as/web-large/LC-2015_300_33ab_001.jpg
119,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP136861.jpg
120,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP162919.jpg
121,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP211883.jpg
122,China,https://images.metmuseum.org/CRDImages/as/web-large/DP215378_CRD.jpg
123,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT221482.jpg
124,China,https://images.metmuseum.org/CRDImages/as/web-large/DP206129_CRD.jpg
125,Japan,https://images.metmuseum.org/CRDImages/as/web-large/36_100_74_108894.jpg
126,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP205534.jpg
127,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP277621.jpg
128,Japan,https://images.metmuseum.org/CRDImages/as/web-large/LC-29_100_1399_003_crd.jpg
129,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154531.jpg
130,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap25.178.4.jpg
131,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP211808.jpg
132,Japan,https://images.metmuseum.org/CRDImages/as/web-large/44_35_2_132302.jpg
133,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6682.jpg
134,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap94.23.1.jpg
135,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP276291.jpg
136,Japan,https://images.metmuseum.org/CRDImages/as/web-large/2000_214_O2.jpg
137,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP208973.jpg
138,China,https://images.metmuseum.org/CRDImages/as/web-large/DP273822.jpg
139,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153574.jpg
140,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153552.jpg
141,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP162913.jpg
142,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP700733.jpg
143,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6697.jpg
144,China,https://images.metmuseum.org/CRDImages/as/web-large/DP161446.jpg
145,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153677.jpg
146,China,https://images.metmuseum.org/CRDImages/as/web-large/DP204032_CRD.jpg
147,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154403.jpg
148,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP211871.jpg
149,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP260440.jpg
150,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP700735.jpg
151,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP279650.jpg
152,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154538.jpg
153,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP276292.jpg
154,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6906.jpg
155,China,https://images.metmuseum.org/CRDImages/as/web-large/DP161415.jpg
156,China,https://images.metmuseum.org/CRDImages/as/web-large/ASA96.jpg
157,Japan,https://images.metmuseum.org/CRDImages/as/web-large/36_100_80_108900.jpg
158,China,https://images.metmuseum.org/CRDImages/as/web-large/DP159076.jpg
159,Japan,https://images.metmuseum.org/CRDImages/as/web-large/36_100_98_18919.jpg
160,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6670.jpg
161,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP251387.jpg
162,Japan,https://images.metmuseum.org/CRDImages/as/web-large/38_106_9_115893.jpg
163,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap37.168.jpg
164,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT6007.jpg
165,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP279661.jpg
166,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6820.jpg
167,Japan,https://images.metmuseum.org/CRDImages/as/web-large/57_70_2_163281.jpg
168,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP700709.jpg
169,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP-14063-020.jpg
170,Japan,https://images.metmuseum.org/CRDImages/as/web-large/36_100_90_O2.jpg
171,China,https://images.metmuseum.org/CRDImages/as/web-large/1985_214_150_O.JPG
172,China,https://images.metmuseum.org/CRDImages/as/web-large/DP202623_CRD.jpg
173,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153505.jpg
174,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154551.jpg
175,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap74.39.jpg
